User_ID,Social,Interest,Luker
1,3,1,1
2,3,1,1
3,3,2,1
4,3,1,1
5,3,1,1
6,3,1,2
7,3,2,1
8,3,1,1
9,1,1,3
10,3,1,2
11,2,1,3
12,3,1,1
13,3,2,1
14,1,3,1
15,3,2,1
16,3,2,1
17,3,2,1
18,3,2,1
19,3,2,1
20,2,1,3
21,3,1,2
22,3,1,2
23,3,1,1
24,3,1,2
25,3,1,1
26,3,2,1
27,3,2,1
28,3,1,1
29,3,2,1
30,3,2,1
31,3,1,1
32,3,2,1
33,3,1,1
34,3,1,1
35,3,1,1
36,3,1,2
37,3,1,2
38,1,1,3
39,3,2,1
40,3,2,1
41,2,3,1
42,3,1,1
43,2,3,1
44,2,3,1
45,3,1,2
46,3,2,1
47,3,2,1
48,3,2,1
49,3,1,1
50,3,2,1
51,3,2,1
52,3,1,1
53,1,3,2
54,3,1,2
55,3,1,2
56,3,2,1
57,3,1,1
58,1,3,1
59,3,2,1
60,3,1,1
61,3,1,1
62,3,1,1
63,3,1,1
64,3,2,1
65,3,2,1
66,3,1,2
67,3,1,2
68,1,3,2
69,3,2,1
70,3,1,1
71,3,2,1
72,3,1,1
73,3,1,1
74,3,1,1
75,3,1,2
76,3,2,1
77,3,1,1
78,3,1,1
79,1,3,1
80,3,1,1
81,1,3,2
82,2,1,3
83,3,2,1
84,3,1,1
85,3,2,1
86,1,3,1
87,3,1,1
88,3,1,1
89,3,1,2
90,3,2,1
91,3,2,1
92,3,2,1
93,3,2,1
94,3,1,1
95,3,1,1
96,3,1,1
97,1,1,3
98,3,2,1
99,3,1,1
100,3,2,1
101,3,1,2
102,3,2,1
103,3,1,2
104,3,2,1
